Model,AUROC,PR_AUC,F1,Precision,Recall,G_Mean
LightGBM + SMOTEENN,0.9832,0.7556,0.6084,0.4628,0.8878,0.9414
XGBoost + SMOTEENN,0.9814,0.8413,0.7281,0.6385,0.8469,0.9199
XGBoost + ADASYN,0.9796,0.8433,0.7678,0.7168,0.8265,0.9089
XGBoost + SMOTE,0.9792,0.8774,0.8018,0.7311,0.8878,0.9419
Random Forest + RandomUnderSampler,0.9782,0.701,0.0806,0.0422,0.9082,0.9359
Logistic Regression + RandomUnderSampler,0.976,0.6778,0.0738,0.0384,0.9184,0.9392
Stacking (LR+RF+XGB) + SMOTE,0.9752,0.8786,0.83,0.8137,0.8469,0.9201
LightGBM + RandomUnderSampler,0.9727,0.6528,0.0677,0.0351,0.9184,0.9373
Logistic Regression + ADASYN,0.9725,0.7302,0.0355,0.0181,0.9184,0.9162
Logistic Regression + ClassWeight,0.9722,0.7189,0.1141,0.0609,0.9184,0.9465
XGBoost + RandomUnderSampler,0.9721,0.4099,0.0648,0.0336,0.9184,0.9363
Logistic Regression + SMOTEENN,0.9702,0.7366,0.1039,0.0551,0.9184,0.9452
Logistic Regression + SMOTE,0.9698,0.7249,0.1094,0.0581,0.9184,0.9459
Random Forest + ADASYN,0.9696,0.8684,0.8229,0.8404,0.8061,0.8977
LightGBM + SMOTE,0.9694,0.8085,0.6397,0.5,0.8878,0.9415
Random Forest + SMOTE,0.9688,0.8678,0.8205,0.8247,0.8163,0.9034
Random Forest + SMOTEENN,0.9685,0.8515,0.7941,0.7642,0.8265,0.9089
XGBoost + ClassWeight,0.9652,0.8753,0.8646,0.883,0.8469,0.9202
LightGBM + ADASYN,0.9619,0.8032,0.525,0.3784,0.8571,0.9247
Random Forest + ClassWeight,0.9581,0.8653,0.8457,0.961,0.7551,0.8689
LightGBM + ClassWeight,0.92,0.0235,0.0505,0.026,0.898,0.9197
